record_id,farm_id,year,region,province,latitude,longitude,elevation_m,slope_degrees,farm_area_hectares,tree_density_per_hectare,total_trees,young_trees,productive_trees,aging_trees,stressed_trees,infested_trees,recovering_trees,dead_trees,average_tree_age,variety,soil_ph,nitrogen_index,phosphorus_index,potassium_index,drainage_index,annual_rainfall_mm,mean_temperature_c,relative_humidity_percent,drought_exposure,typhoon_exposure,weather_event,weather_severity,intervention,pest_control,soil_rehabilitation,replanting,yellowing,crown_decline,frond_cuts,visible_scale_insects,rhinoceros_beetle_damage,premature_nut_fall,nearby_reports,symptom_severity,pest_probability,pest_outcome,suitability_score,suitability_class,annual_production_tons,yield_tons_per_hectare,replanting_survival,rehabilitation_success,data_source_type,is_synthetic,generation_version,generation_seed,reference_group,created_at,quality_flag
SYN-FARM-0001-2018,SYN-FARM-0001,2018,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,15,158,17,11,7,3,6,30.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2221.8975547491523,27.2474579452006,84.14211882415674,0.0,0.28433106106295175,normal,0.03622840760656271,none,0,0,0,1,0,0,0,0,0,0,2,0.25763588408441723,1,0.8855591408809814,4,2.46244217991143,1.4323031565089772,0.833996287393736,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2019,SYN-FARM-0001,2019,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,29,148,25,8,0,4,3,31.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2131.354552157923,26.42260997576701,81.2245574936832,0.0,0.02472127256561796,normal,0.42519178890641063,none,0,0,0,0,0,0,0,0,0,0,0,0.17910200381993682,0,0.9063279239607681,4,3.022302312475732,1.7579511825285066,0.9191244662298922,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2020,SYN-FARM-0001,2020,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,21,130,25,20,8,6,7,32.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2317.5741566335396,26.741495346353926,87.87108504973304,0.0,0.06013929767107801,drought,0.5500318309481267,none,0,0,0,0,0,0,0,0,0,0,0,0.29343474902585504,0,0.9034944819523313,4,2.8837336422112414,1.6773513839089833,0.7771879272628658,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2021,SYN-FARM-0001,2021,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,35,135,19,15,0,7,6,33.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2183.1082688870183,26.65833284884347,84.12008527762616,0.0,0.04184672231015492,normal,0.3211148792484421,combined,1,1,1,0,0,0,0,0,0,0,0,0.07690872942756077,0,0.9049578879812051,4,3.4858652921672983,2.027587044222859,0.8912081538421922,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2022,SYN-FARM-0001,2022,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,10,149,41,9,3,0,5,34.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2301.043800962264,27.251855146671673,81.22131015983601,0.0,0.03154012175157284,normal,0.29905959275406613,none,0,0,0,0,0,0,0,0,0,0,1,0.20312891404243982,0,0.9057824160258917,4,3.4394329958184113,2.0005792528655557,0.8335038111521433,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2023,SYN-FARM-0001,2023,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,39,104,44,8,2,17,3,35.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2110.3669109355023,27.319704523294785,85.63149438515069,0.0,0.04555399831542408,normal,0.22064728318677423,combined,1,1,1,0,0,0,0,0,0,0,0,0.08469485999842159,0,0.9046613059007836,4,3.2959457225700115,1.9171185015556746,0.6944422552181595,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2024,SYN-FARM-0001,2024,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,21,124,43,10,6,7,6,36.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2319.1161451327885,26.371125977858963,85.44283556077144,0.0,0.05215834860938609,normal,0.18203730132793805,soil_rehabilitation,0,1,0,0,0,0,0,0,0,0,1,0.27070709354051276,0,0.9041329578772667,4,3.2481979254376747,1.8893455365265197,0.8608031365299076,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0001-2025,SYN-FARM-0001,2025,Region XII,South Cotabato,6.271474442313559,124.8323534642874,99.56337499037535,4.4437104634388085,1.7192185667685471,125.93026476008203,217,16,118,49,18,0,3,13,37.277030776917904,Tall,5.715892141990446,0.5943669968538324,0.5488663389277806,0.5594967808346387,0.6105610873824062,2084.212756817921,26.453604718993493,76.22537140866538,0.0,0.0728264912590486,typhoon,0.32811088725357823,none,0,0,0,0,0,0,0,0,0,0,1,0.14526634907031416,0,0.9024795064652936,4,2.3050035768845896,1.3407274801697187,0.8570870661127995,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0002-2018,SYN-FARM-0002,2018,Region XI,Davao Oriental,7.31270941670256,126.54883315313026,27.38977568884055,1.8587103673472276,2.4168037510465004,128.15652922409015,310,50,178,52,12,0,18,0,24.195186543137854,Tall,5.83267783997175,0.8413620614843615,0.8263785297862161,0.8888077795826106,0.49678137988284243,2246.185722683874,26.90264711237826,83.50734837390004,0.0,0.12164837707435235,normal,0.02215448053913642,combined,1,1,1,0,0,0,0,0,0,0,1,0.07412627102934449,0,0.9293162308644946,4,6.220785604185843,2.573972173575194,0.8559177814906067,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
SYN-FARM-0002-2019,SYN-FARM-0002,2019,Region XI,Davao Oriental,7.31270941670256,126.54883315313026,27.38977568884055,1.8587103673472276,2.4168037510465004,128.15652922409015,310,38,153,42,48,0,10,19,25.195186543137854,Tall,5.83267783997175,0.8413620614843615,0.8263785297862161,0.8888077795826106,0.49678137988284243,2474.29927808583,26.773363144546693,79.28394054622777,0.0,0.08041827817215284,typhoon,0.7633887087345327,none,0,0,0,0,0,0,0,0,0,0,0,0.18670790542571317,0,0.9326146387766705,4,3.0339843403873137,1.255370585664462,0.7991371974151039,0,synthetic_reference_based,True,agri-synthetic-1.0,20260719,Philippine coconut development ranges,2026-07-19T05:04:04.547864+00:00,development_only
